Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For (GF),Goals Against (GA),+ / -,ID
Boston Bruins,1990,44,24,0,0.55,299,264,35,1
Boston Bruins,1991,36,32,0,0.45,270,275,-5,22
Boston Bruins,1990,44,24,0,0.55,299,264,35,26
Boston Bruins,1991,36,32,0,0.45,270,275,-5,47
Boston Bruins,1990,44,24,0,0.55,299,264,35,51
Boston Bruins,1991,36,32,0,0.45,270,275,-5,72
Boston Bruins,1990,44,24,0,0.55,299,264,35,76
Boston Bruins,1991,36,32,0,0.45,270,275,-5,97
Boston Bruins,1990,44,24,0,0.55,299,264,35,101
Boston Bruins,1991,36,32,0,0.45,270,275,-5,122
